"Name","TankType","Capacity","CapacityUnits","Diameter","DiameterUnits","MaxOperatingDepth","MaxOperatingDepthUnits","Ventilation","InServiceDate","InterimStabilization","IntrusionPrevention","OperationCapacityKGal","TankStatus","TankIntegrity","DIL_Gal"
"241-B-201","SST-1","55","kgal","20","ft","280","in","","1952","August 1981","May 1981","55","WI","Assumed leaker","4200"
"241-B-202","SST-1","55","kgal","20","ft","280","in","","1952","May 1985","June 1985","55","WI","Sound","4100"
"241-B-203","SST-1","55","kgal","20","ft","280","in","","1952","June 1984","June 1985","55","","Assumed leaker","7700"
"241-B-204","SST-1","55","kgal","20","ft","280","in","","1952","June 1984","June 1985","55","","Assumed leaker","7600"
"241-BX-101","SST-2","530","kgal","75","ft","185","in","Passive","1/1948","September 1978","May 1981","530","WI","Assumed leaker","300"
"241-BX-102","SST-2","530","kgal","75","ft","185","in","Passive","6/1948","November 1978","October 1980","530","","Assumed leaker","0"
"241-BX-103","SST-2","530","kgal","75","ft","185","in","Passive","9/1948","November 1983","October 1985","530","WI","Sound","3400"
"241-BX-104","SST-2","530","kgal","75","ft","185","in","Passive","1/1949","September 1989","September 1991","530","WI","Sound","8600"
"241-BX-105","SST-2","530","kgal","75","ft","185","in","Passive","4/1949","March 1981","1986","530","","Sound","6000"
"241-BX-106","SST-2","530","kgal","75","ft","185","in","Passive","9/1949","July 1995","","530","","Sound","6400"
"241-BX-107","SST-2","530","kgal","75","ft","185","in","Passive","9/1948","September 1990","","530","WI","Sound","39000"
"241-BX-108","SST-2","530","kgal","75","ft","185","in","Passive","3/1949","July 1979","June 1981","530","","Assumed leaker","0"
"241-BX-109","SST-2","530","kgal","75","ft","185","in","Passive","1/1950","September 1990","","530","","Sound","29000"
"241-BX-110","SST-2","530","kgal","75","ft","185","in","Passive","9/1949","August 1985","1982","530","WI","Assumed leaker","36000"
"241-BX-111","SST-2","530","kgal","75","ft","185","in","Passive","1/1950","March 1995","1982","530","","Assumed leaker","16000"
"241-BX-112","SST-2","530","kgal","75","ft","185","in","Passive","1951","1990","1990","530","","Sound","10000"
"241-BY-101","SST-3","758","kgal","75","ft","275","in","Passive","1/1950","May 1984","October 1989","758","","Sound","37000"
"241-BY-102","SST-3","758","kgal","75","ft","275","in","Passive","7/1950","April 1995","","758","WI","Sound","44000"
"241-BY-103","SST-3","758","kgal","75","ft","275","in","Passive","11/1950","November 1997","","758","WI","Assumed leaker","66000"
"241-BY-104","SST-3","758","kgal","75","ft","275","in","Passive","2/1951","January 1985","September 1990","758","","Sound","42000"
"241-BY-105","SST-3","758","kgal","75","ft","275","in","Passive","6/1951","March 2003","","758","WI","Assumed leaker","51000"
